seed_rank_within_source,source,role,item_id,stratum,direction,claim_sha,claim,evidence
0,fever,active,g24a_fever_72331,fever/SUPPORTS,increase,13914cf53656,The Republic of Macedonia is a region.,"It is one of the successor states of the former Yugoslavia, from which it declared independence in 1991."
1,fever,active,g24a_fever_98810,fever/SUPPORTS,increase,61317347f171,"Jackpot is a film released on December 13, 2013.",The film released on 13 December 2013 with 1150 screens release in India.
2,fever,active,g24a_fever_115940,fever/SUPPORTS,increase,5a53f71d8524,Party Down is a show that Lizzy Caplan starred in.,"Caplan also starred in television shows The Class, True Blood, and Party Down."
3,fever,active,g24a_fever_27294,fever/REFUTES,decrease,fc76ddaf8d5e,Team Fortress 2 was incapable of being developed.,Team Fortress 2 (TF2) is a team-based multiplayer first-person shooter video game developed and published by Valve Corporation.
4,fever,active,g24a_fever_24264,fever/SUPPORTS,increase,416ee954c9de,Exercise temporarily increases the heart rate.,"Exercise temporarily increases the rate, but lowers resting heart rate in the long term, and is good for heart health."
5,fever,active,g24a_fever_94500,fever/SUPPORTS,increase,d73ceed8ee0a,Multiple American actors starred in Underdog.,"Directed by Frederik Du Chau and written by Joe Piscatella, Adam Rifkin, and Craig A. Williams, the film stars Jim Belushi, Peter Dinklage, John Slattery, and Patrick Warburton with the voice talents of Jason Lee, Amy Adams, and Brad Garrett. Amy Lou Adams (born August 20, 1974) is an American actress and singer. Jason Michael Lee (born April 25, 1970) is an American actor, producer, comedian and skateboarder."
6,fever,active,g24a_fever_190090,fever/SUPPORTS,increase,a21428f974dd,Terrence Howard was in the film Iron Man.,"Howard played James Rhodes in Iron Man and reprised the role in the video game adaptation. Iron Man is a 2008 American superhero film based on the Marvel Comics character of the same name, produced by Marvel Studios and distributed by Paramount Pictures."
7,fever,active,g24a_fever_122006,fever/SUPPORTS,increase,8a857a569489,Hinduism's rituals are recognizable.,"Although Hinduism contains a broad range of philosophies, it is linked by shared concepts, recognisable rituals, cosmology, shared textual resources, and pilgrimage to sacred sites."
8,fever,active,g24a_fever_62053,fever/SUPPORTS,increase,58aba38520b7,The Ellen Show stars a comedian.,"The Ellen Show is a television sitcom created by and starring Ellen DeGeneres that was broadcast during the 2001 -- 02 season on CBS. Ellen Lee DeGeneres ([dᵻˈdʒɛnərᵻs] born January 26, 1958) is an American comedian, television host, actress, writer, and producer."
9,fever,active,g24a_fever_33055,fever/REFUTES,decrease,335c068cdcc0,"According to some, Zoroastrianism's major features have not influenced other religious systems.","Major features of Zoroastrianism, such as messianism, heaven and hell, and free will have, some believe, influenced other religious systems, including Second Temple Judaism, Gnosticism, Christianity, and Islam."
10,fever,active,g24a_fever_108107,fever/REFUTES,decrease,b38f133edf45,Joseph Goebbels' Propaganda Ministry gained nothing after the Nazi Seizure of Power.,"After the Nazi Seizure of Power in 1933, Goebbels' Propaganda Ministry quickly gained and exerted controlling supervision over the news media, arts, and information in Germany."
11,fever,active,g24a_fever_175879,fever/SUPPORTS,increase,c226584ea7f4,"From 1997 until the 1999-2000 season, Chris Mullin played with the Indiana Pacers.","Thereafter, Mullin played with the Indiana Pacers from 1997 until the 1999 -- 2000 season."
12,fever,active,g24a_fever_151483,fever/SUPPORTS,increase,19ff6424ac8d,Roberto Orci worked with others.,He began his longtime collaboration with Alex Kurtzman while at school in California.
