seed_rank,active_200,cfb_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
0,yes,g24cfb_000,5ede072fc9e77c00084d3390,train,162196,Ken Bruce,21758ad20a69,Ken Bruce has more than seven children .,"Bruce has eight sons and five daughters , his latest son born in February 2008 .","Bruce has four sons and two daughters , his latest son born in February 2008 ."
1,yes,g24cfb_001,5ec5598ec9e77c000842c6c1,train,67818,Be Kind Rewind,a7864574dbd3,The movie Be Kind Rewind had unreasonable reviews .,The film received unreasonable reviews from critics .,The film received mixed reviews from critics .
2,yes,g24cfb_002,5ea2d97dc9e77c0009cdae12,train,121887,Alabamaï¿½LSU football rivalry,fd5ba3a1b10e,Alabama scored 16 wins after Bear Bryant 's retirement .,"Following Bear Bryant 's retirement , the two teams have virtually split the series , with Alabama leading 16ï¿½14ï¿½1 .","Following Bear Bryant 's retirement , the two teams have virtually split the series , with Alabama leading 17ï¿½14ï¿½1 ."
3,yes,g24cfb_003,5ed4de04c9e77c000848971c,train,135667,Atlanta Braves,143e62964272,"Atlanta Braves were founded before 1870 in Cincinnati , Ohio , and were first known as the Cincinnati Red Stockings .","The Braves were founded in Cincinnati , Ohio in 1869 as the Cincinnati Red Stockings The team states it is `` the oldest continuously operating professional sports franchise in America .","The Braves were founded in Boston , Massachusetts in 1871 as the Boston Red Stockings ( not to be confused with the American League 's Boston Red Sox ) The team states it is `` the oldest continuously operating professional sports franchise in America ."
4,yes,g24cfb_004,5ec284ffc9e77c00084179a5,train,87471,Judas Priest,9dd83d66b81d,Judas Priest was formed after 1968 .,Judas Priest are an English heavy metal band formed in West Bromwich in 1969 .,Judas Priest are an English heavy metal band formed in West Bromwich in 1968 .
5,yes,g24cfb_005,5ed7ad00c9e77c00084a612e,train,185807,The Interview,297e2b2eba72,The film The Interview was released for online rental and purchase after 2013 .,"Major cinema chains opted not to release the film , leading Sony to release it for online rental and purchase on December 24 , 2014 followed by a limited release at selected cinemas the next day .","Major cinema chains opted not to release the film , leading Sony to release it for online rental and purchase on December 24 , 2013 followed by a limited release at selected cinemas the next day ."
6,yes,g24cfb_006,5ec7d50ec9e77c0008442bf7,train,61004,2003 Rugby World Cup,17a015cce781,The first match of the 2003 Rugby World Cup was at Telstra Stadium .,The tournament began with host nation Australia defeating Argentina 24–8 at Telstra Stadium in Sydney .,The tournament began with host nation Australia defeating Argentina 24–8 at Stadium Australia in Sydney .
7,yes,g24cfb_007,5ec284fec9e77c00084176a5,dev,10711,Death Race for Love,b198ed1da937,"`` Hear Me Calling '' from the album Death Race For Love was released after February 28 , 2019 .","The album 's second single , `` Hear Me Calling '' , was released on March 1 , 2019 .","The album 's second single , `` Hear Me Calling '' , was released on February 28 , 2019 ."
8,yes,g24cfb_008,5ee39418c9e77c0008ccec07,train,229301,A Song of Ice and Fire,b31773597dad,The book A Game of Thrones : A Song of Ice and Fire was published after 1996 .,"He began the first volume of the series , A Game of Thrones , in 1991 , and it was published in 1997 .","He began the first volume of the series , A Game of Thrones , in 1991 , and it was published in 1996 ."
9,yes,g24cfb_009,5ee393b7c9e77c0008cccb08,train,228171,2020 coronavirus pandemic in South Africa,9c9001963f40,There was 1 recovery .,there were a total of 240 confirmed cases with 0 deaths and 1 recovery .,there were a total of 240 confirmed cases with 0 deaths and 0 recoveries .
10,yes,g24cfb_010,5ed4de0ac9e77c000848b53c,train,163350,La Gomera,844d2496c134,La Gomera is more than the second smallest island in a group of seven main islands .,"With an area of 370 square kilometers , it is the third smallest of the seven main islands of this group .","With an area of , it is the second smallest of the seven main islands of this archipelago ."
11,yes,g24cfb_011,5ec5598fc9e77c000842cb04,train,162540,Killing Them Softly,920343d515e2,"In Killing Them Softly , Jackie knows Russell too closely .",Jackie claims however that they will need to sign a second mafia hitman as he knows Russell too closely .,Jackie claims however that they will need to sign a second mafia hitman as he knows Johnny too closely .
12,yes,g24cfb_012,5ee393b6c9e77c0008ccbd78,train,197008,2020 coronavirus pandemic in California,e21e665a1e06,"Universal Studios Hollywood in Los Angeles , California , closed from 14th to 31st March due to the 2020 coronavirus pandemic .",Universal Studios Hollywood in Los Angeles – Closed from March 14 to 31.,"Universal Studios Hollywood in Los Angeles – Closed from March 14 to April 19 , 2020."
13,yes,g24cfb_013,5ece9464c9e77c0008467a96,train,223974,Trina,b036fe1006af,Trina was born before 1976 .,"Katrina Laverne `` Trina '' Taylor ( born December 3 , 1974 )   is an American rapper .","Katrina Laverne `` Trina '' Taylor ( born December 3 , 1978 )   is an American rapper ."
14,yes,g24cfb_014,5ec7d50dc9e77c0008442295,test,10837,Hughie Fury,56f23987a2c9,The bid made by Hughie Fury 's representative was lower than $ 2 million .,"Frank Warren , representing Fury , made a bid of $ 1,204,400 , wanted the fight to take place in the UK .","Frank Warren , representing Fury , made a bid of $ 2,800,000 , wanted the fight to take place in the UK ."
15,yes,g24cfb_015,5eb29888c9e77c0008d935ee,train,18368,MC Eiht,f9f7b7214e8c,MC Eiht was born in 1971 .,"Aaron Tyler ( born May 22 , 1971 ) , better known by his stage name MC Eiht , is an American rapper born in Compton , California .","Aaron Tyler ( born May 22 , 1967 ) , better known by his stage name MC Eiht , is an American rapper born in Compton , California ."
16,yes,g24cfb_016,5ede072ec9e77c00084d26b1,train,193869,2015 Carolina Panthers season,90e8994f9922,The Carolina Panthers won the Super Bowl 50 .,The Panthers defeated the Denver Broncos in Super Bowl 50 by a score of 24–10 and won their first NFL title.,The Panthers lost to the Denver Broncos in Super Bowl 50 by a score of 24–10 after appearing in their 2nd Championship.
17,yes,g24cfb_017,5ee39418c9e77c0008ccf45e,train,232420,Communist Party of the Soviet Union,e3625aa96748,The Communist Party of the Soviet Union pursued state socialism .,"The party pursued state socialism , under which all industries were nationalized and a planned economy was implemented .","The party pursued state capitalism ( although Leninists have referred to it as state socialism ) , under which all industries were nationalized and a planned economy was implemented ."
18,yes,g24cfb_018,5ebbf32bc9e77c000929562d,train,39225,GameSpy,7602e14dc1b6,GameSpy rivals voice chat software GameComm .,This software rivals the other major voice chat software GameComm and Teamspeak .,This software rivals the other major voice chat software Ventrilo and Teamspeak .
19,yes,g24cfb_019,5ede072fc9e77c00084d320e,train,136611,Basic Instinct 2,7b81df1987b8,Basic Instinct 2 received bleak reviews .,"Unlike its predecessor , the film received negative reviews and fell short of commercial expectations.","Unlike its predecessor , the film received either negative or moderate reviews and fell short of commercial expectations."
20,yes,g24cfb_020,5ed7ad02c9e77c00084a6998,train,162655,Kingsglaive-COLON- Final Fantasy XV,ae9e6b018e0e,Kingsglaive was mainly developed by Square Enix Business Division 2 .,"Developed primarily by Square Enix Business Division 2 , Kingsglaive is based on the setting and story of the 2016 video game Final Fantasy XV , which is thematically connected to the Fabula Nova Crystallis subseries .","Developed primarily by Square Enix dedicated CGI studio Visual Works , Kingsglaive is based on the setting and story of the 2016 video game Final Fantasy XV , which is thematically connected to the Fabula Nova Crystallis subseries ."
21,yes,g24cfb_021,5ee39419c9e77c0008ccf895,dev,42181,Winter's Tale -LRB-novel-RRB-,b69584ae5aae,An immigrant child is denied admission at Governors Island in Winter 's Tale ( novel ) .,"A child of an immigrant couple denied admission at Governors Island , Peter Lake is set adrift in New York Harbor in a miniature model ship called City of Justice .","A child of an immigrant couple denied admission at Ellis Island , Peter Lake is set adrift in New York Harbor in a miniature model ship called City of Justice ."
22,yes,g24cfb_022,5ee39417c9e77c0008cce407,train,233486,Doc Holliday,1fd256c5db9f,Doc Holliday 's last words were `` I 'll be damned '' .,"The nurses said that his last words were , `` I 'll be damned . ''","The nurses said that his last words were , `` This is funny . ''"
23,yes,g24cfb_023,5eb29889c9e77c0008d93c67,train,21422,Allahabad,c1fabefff909,Allahabad High Court is the highest judicial body in Uttar Pradesh .,The city is the judicial capital of Uttar Pradesh with Allahabad High Court being the highest judicial body in the state .,The city is the judicial capital of Uttar Pradesh with Prayagraj High Court being the highest judicial body in the state .
24,yes,g24cfb_024,5ec55990c9e77c000842d5e1,train,85517,Jack Butland,eed1e2d9be72,Jack Butland was raised in Kenn .,"Butland was born in Bristol , and raised in nearby Kenn where he attended Yeo Moor Primary School and Clevedon Community School .","Butland was born in Bristol , and raised in nearby Clevedon where he attended Yeo Moor Primary School and Clevedon Community School ."
25,yes,g24cfb_025,5ed4de09c9e77c000848a7f5,test,20547,Meet Joe Black,b7e28d270e8e,Roger Ebert gave Meet Joe Black `` Three Thumbs Up '' .,Roger Ebert gave it `` Three Thumbs Up '' but disliked the peripheral story lines and overly drawn-out ending .,"Roger Ebert gave it three stars , but disliked the peripheral story lines and overly drawn-out ending ."
26,yes,g24cfb_026,5ec284fdc9e77c00084167df,train,67792,Bbno$,b413b0b7a957,Alexander Gumuchian was born after 1994 .,"Gumuchian was born in Vancouver on June 30 , 1995 .","Gumuchian was born in Vancouver on June 30 , 1993 ."
27,yes,g24cfb_027,5ec7d50dc9e77c000844235e,train,69448,Brackish water,af01f7d2487a,The term brackish water derives from row German word Brack .,"The term brackish water derives from the Low German word Brack , which is a small lake created when a storm tide breaks a dike and floods land behind the dike.","The term brackish water derives from the Low German word dick , which is a small penus created when a sperm breaks a egg after having sex"
