seed_rank_within_source,source,group_sha,selected_96,role,inc_item_id,dec_item_id,auto_type,jaccard_mean,entity_overlap_mean
0,fever,0c6800fb98,yes,initial,g24a_fever_104703,g24a_fever_42954,numeric_value,0.375,1.0
1,fever,8ab41d7c96,yes,initial,g24a_fever_196992,g24a_fever_196964,explicit_negation,0.6667,1.0
2,fever,b03a779396,yes,initial,g24a_fever_90925,g24a_fever_126933,numeric_value,0.4286,1.0
3,fever,862d663bdc,yes,initial,g24a_fever_103003,g24a_fever_108201,numeric_value,0.2857,1.0
4,fever,7bc1d63c46,yes,initial,g24a_fever_96603,g24a_fever_138355,numeric_value,0.1538,0.125
5,fever,d90f0f36bc,yes,initial,g24a_fever_19719,g24a_fever_132132,exclusive_alternative,0.125,0.0
6,fever,01df2d47f2,yes,initial,g24a_fever_70780,g24a_fever_99974,indirect_contradiction,0.625,0.2
7,fever,080a6c2bd0,yes,initial,g24a_fever_69652,g24a_fever_11917,exclusive_alternative,0.25,0.0
8,fever,0aa4aeed0f,yes,initial,g24a_fever_4592,g24a_fever_59214,exclusive_alternative,0.3333,1.0
9,fever,3af0580f9b,yes,initial,g24a_fever_114158,g24a_fever_148551,explicit_negation,0.2727,0.5
10,fever,b05287b62f,yes,initial,g24a_fever_136290,g24a_fever_60344,indirect_contradiction,0.3333,1.0
11,fever,c8e543ff59,yes,initial,g24a_fever_1251,g24a_fever_20202,indirect_contradiction,0.75,1.0
12,fever,2295b52ec4,yes,initial,g24a_fever_189771,g24a_fever_189768,numeric_value,0.2,0.2
13,fever,234717bc1f,yes,initial,g24a_fever_25995,g24a_fever_106981,numeric_value,0.4,1.0
14,fever,8062eda8e9,yes,initial,g24a_fever_15155,g24a_fever_136274,explicit_negation,0.375,0.3333
15,fever,6da30661c0,yes,initial,g24a_fever_40944,g24a_fever_34323,explicit_negation,0.625,1.0
16,fever,e059650125,yes,initial,g24a_fever_12738,g24a_fever_91635,exclusive_alternative,0.3529,0.0
17,fever,2c34b2565b,yes,initial,g24a_fever_199818,g24a_fever_199819,indirect_contradiction,0.3889,0.4444
18,fever,f360f8b694,yes,initial,g24a_fever_95679,g24a_fever_143875,exclusive_alternative,0.1429,0.0
19,fever,8216ed3c31,yes,initial,g24a_fever_11237,g24a_fever_12084,indirect_contradiction,0.5,1.0
20,fever,57dd206baa,yes,initial,g24a_fever_168011,g24a_fever_168015,indirect_contradiction,0.5,1.0
21,fever,494e225216,yes,initial,g24a_fever_49405,g24a_fever_70815,indirect_contradiction,0.4286,1.0
22,fever,f81d4310d0,yes,initial,g24a_fever_207263,g24a_fever_207256,explicit_negation,0.2222,1.0
23,fever,b0f96d949b,yes,initial,g24a_fever_64113,g24a_fever_58823,indirect_contradiction,0.3636,1.0
24,fever,f0196dc603,yes,initial,g24a_fever_48101,g24a_fever_35043,indirect_contradiction,0.4444,0.0
25,fever,d63fe9fc86,yes,initial,g24a_fever_7876,g24a_fever_7877,indirect_contradiction,0.5455,1.0
26,fever,ab892e0591,yes,initial,g24a_fever_67534,g24a_fever_90865,indirect_contradiction,0.3333,0.5
27,fever,b180197526,yes,initial,g24a_fever_47308,g24a_fever_76522,indirect_contradiction,0.4444,0.6
28,fever,f0174765dd,yes,initial,g24a_fever_24345,g24a_fever_110379,indirect_contradiction,0.7143,0.3333
29,fever,1d71e1b002,yes,initial,g24a_fever_205126,g24a_fever_205099,explicit_negation,0.5714,1.0
30,fever,fb37cb9aa9,yes,initial,g24a_fever_113884,g24a_fever_99531,numeric_value,0.75,0.5
31,fever,2a3255de71,yes,initial,g24a_fever_10650,g24a_fever_144800,indirect_contradiction,0.625,1.0
32,fever,33f8620216,yes,initial,g24a_fever_55741,g24a_fever_20461,indirect_contradiction,0.375,0.0
33,fever,f7547bfefb,yes,initial,g24a_fever_57718,g24a_fever_133910,numeric_value,0.7143,1.0
34,fever,e3f49ec377,yes,initial,g24a_fever_36333,g24a_fever_142984,indirect_contradiction,0.6667,0.0
35,fever,cf29f7401a,yes,initial,g24a_fever_36453,g24a_fever_153341,indirect_contradiction,0.5714,1.0
36,fever,e30b1f6fa0,yes,initial,g24a_fever_221240,g24a_fever_221244,indirect_contradiction,0.625,1.0
37,fever,62554839bb,yes,initial,g24a_fever_169011,g24a_fever_169000,numeric_value,0.5,0.1429
38,fever,2d03f3662c,yes,initial,g24a_fever_16807,g24a_fever_102175,indirect_contradiction,0.4286,0.75
39,fever,6cbe0db683,yes,initial,g24a_fever_16701,g24a_fever_101473,explicit_negation,1.0,1.0
40,fever,4ea809259a,yes,initial,g24a_fever_119549,g24a_fever_76382,indirect_contradiction,0.4,1.0
41,fever,93ab4ab661,yes,initial,g24a_fever_108882,g24a_fever_35695,indirect_contradiction,0.3333,0.5
42,fever,dcd7c79741,yes,initial,g24a_fever_90158,g24a_fever_71554,indirect_contradiction,0.6667,1.0
43,fever,634a5a7bf7,yes,initial,g24a_fever_32730,g24a_fever_67285,indirect_contradiction,0.6667,0.5
44,fever,d12dd79259,yes,initial,g24a_fever_161906,g24a_fever_161915,indirect_contradiction,0.375,0.5
45,fever,9f5081e9a1,yes,initial,g24a_fever_114625,g24a_fever_124264,indirect_contradiction,0.4,0.5
46,fever,00246702d1,yes,initial,g24a_fever_185301,g24a_fever_185287,explicit_negation,0.4,1.0
47,fever,a736c80e61,yes,initial,g24a_fever_154989,g24a_fever_128332,explicit_negation,0.5,1.0
48,fever,92b07c2b9d,yes,initial,g24a_fever_136282,g24a_fever_87414,indirect_contradiction,0.3333,1.0
49,fever,3ac4b52efa,yes,initial,g24a_fever_10041,g24a_fever_101434,indirect_contradiction,0.5,1.0
50,fever,279980b841,yes,initial,g24a_fever_71082,g24a_fever_37060,indirect_contradiction,0.3333,1.0
51,fever,4c8f926d12,yes,initial,g24a_fever_59607,g24a_fever_38110,numeric_value,0.7778,0.6
52,fever,fa15646b91,yes,initial,g24a_fever_164647,g24a_fever_164643,indirect_contradiction,0.4,1.0
53,fever,a78e3bd7d1,yes,initial,g24a_fever_45818,g24a_fever_145403,exclusive_alternative,0.2222,1.0
54,fever,de842ad87f,yes,initial,g24a_fever_35858,g24a_fever_127098,indirect_contradiction,0.6,1.0
