seed_rank,active_200,p2_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
0,yes,g24p2_000,5ece9460c9e77c0008465960,train,164445,LeSean McCoy,9610307aa72c,LeSean McCoy signed a one-year $ 3 million contract with the Philadelphia Eagles .,"McCoy was released during final roster cuts on August 31 , 2019.McCoy signed a one-year $ 3 million contract , with a potential $ 1 million in incentives , with the Philadelphia Eagles on August 31 , 2019.","McCoy was released during final roster cuts on August 31 , 2019.McCoy signed a one-year $ 3 million contract , with a potential $ 1 million in incentives , with the Kansas City Chiefs on August 31 , 2019."
1,yes,g24p2_001,5ec284ffc9e77c0008417dda,train,99024,Quiet Riot,a20edd7e5285,The band Quiet Riot was formed after 1977 .,"The band was founded in 1980 , by guitarist Randy Rhoads and bassist Kelly Garni under the name Mach 1 .","The band was founded in 1976 , by guitarist Randy Rhoads and bassist Kelly Garni under the name Mach 1 ."
2,yes,g24p2_002,5ed4de07c9e77c0008489fec,train,184674,The Diary of a Teenage Girl,8ba57090e034,The Diary of a Teenage Girl is an erotic film .,"The Diary of a Teenage Girl is a 2015 American coming-of-age erotic drama art film written and directed by Marielle Heller , based on the graphic novel The Diary of a Teenage Girl : An Account in Words and Pictures by Phoebe Gloeckner .","The Diary of a Teenage Girl is a 2015 American coming-of-age comedy-drama art film written and directed by Marielle Heller , based on the graphic novel The Diary of a Teenage Girl : An Account in Words and Pictures by Phoebe Gloeckner ."
3,yes,g24p2_003,5ea2d97dc9e77c0009cdad53,test,15459,The Heist -LRB-album-RRB-,446c68b97a8b,"The Heist had sold 983,000 copies in the US as of August 2013 .","As of August 2013 , the album has sold over 983,000 copies in the United States and has received generally positive reviews from critics.","As of August 2013 , the album has sold over 998,000 copies in the United States and has received generally positive reviews from critics."
4,yes,g24p2_004,5ea2d97dc9e77c0009cdaa0c,train,119887,Margaret -LRB-2011 film-RRB-,e2b309f9bbf1,"Based on 69 reviews , Margaret scored 71 % .","``  The film was fairly well received ; it holds a 71 % `` '' fresh '' '' rating on Rotten Tomatoes , based on 69 reviews . ''","``  The film was fairly well received ; it holds a 71 % `` '' fresh '' '' rating on Rotten Tomatoes , based on 77 reviews . ''"
5,yes,g24p2_005,5ec7d50dc9e77c0008441ece,train,113682,Wii Fit,5a849125f718,Wii Fit is the current second best-selling console game of all time .,"Wii Fit is currently the second best selling console game in history ( among games not packaged with a console ) with 22.56 million copies sold as of December 30 , 2009.","Wii Fit is currently the third best selling console game in history ( among games not packaged with a console ) with 22.56 million copies sold as of December 30 , 2009."
6,yes,g24p2_006,5ece9462c9e77c00084668d1,train,185785,The Internship,8d9dc0db1caf,The association of Vaughn and Wilson with Google in The Internship was rightly timed .,"``   One critique was that combining Vaughn and Wilson with Google was simply good timed , and that The Internship would have had a much fantasic reception if it had come out on the heels of Vaughn and Wilson 's success in 2005 's Wedding Crashers .","``   One critique was that combining Vaughn and Wilson with Google was simply badly timed , and that The Internship would have had a much better reception if it had come out on the heels of Vaughn and Wilson 's success in 2005 's Wedding Crashers ."
7,yes,g24p2_007,5ec7d50ec9e77c000844282b,train,90729,London on da Track,022dfec58558,London on da Track has worked with Waka Flocka Flame .,"He is a frequent collaborator of fellow Atlanta rapper Young Thug and has also worked with Birdman , Waka Flocka Flame , Rich Homie Quan , Gucci Mane , Drake , T.I. , Travis Porter , Rich Kidz and 50 Cent.","He is a frequent collaborator of fellow Atlanta rapper Young Thug and has also worked with Birdman , Lil Wayne , Rich Homie Quan , Gucci Mane , Drake , T.I. , Travis Porter , Rich Kidz and 50 Cent."
8,yes,g24p2_008,5ee3932ac9e77c0008cc987f,train,211578,2020 coronavirus pandemic in the Philippines,b2331d931e98,3 cases of coronavirus were confirmed in the Philippines as of February 26 .,"As of February 26 , there are three confirmed cases in the Philippines .","As of March 1 , there are three confirmed cases in the Philippines ."
9,yes,g24p2_009,5ec7d50dc9e77c0008442253,train,74484,David Fizdale,d6407f75b823,David Fizdale was the manager for the New York Knicks .,"He previously served as the head coach for the Memphis Grizzlies , and New York Knicks.","He previously served as the head coach for the Memphis Grizzlies and was an assistant coach for the Atlanta Hawks , Golden State Warriors , and Miami Heat."
10,yes,g24p2_010,5ec5598bc9e77c000842bf28,train,73195,County Cork,62dc53ca2ae9,The Cork County Council governs the entire county except for Ballincollig .,"The county , excluding Ballincollig , is administered by Cork County Council while the city is administered separately by Cork City Council .","The county , excluding Cork city , is administered by Cork County Council while the city is administered separately by Cork City Council ."
11,yes,g24p2_011,5ec7d50dc9e77c0008441a91,dev,16017,Universal Music Group,03120b2f96fb,Vivendi is currently the parent company of Universal Music Group .,"Universal Music Group 's parent company , Vivendi , is headquartered in Paris , France.","Universal Music Group 's former parent company , Vivendi , is headquartered in Paris , France and now newly parent company Comcast."
12,yes,g24p2_012,5ebe6f31c9e77c0008409203,dev,8146,EFL Championship,91d6acef7428,"Sunderland won the EFL Championship league , in the first season since re-branding .","Sunderland won the league in the first season since re-branding , with Wigan Athletic finishing second to win promotion to the top flight of English football for the first time in their history .","Southampton won the league in the first season since re-branding , with Wigan Athletic finishing second to win promotion to the top flight of English football for the first time in their history ."
13,yes,g24p2_013,5eafed7ec9e77c0009ce0b9c,train,1343,The Man from U.N.C.L.E. -LRB-film-RRB-,dec8bf5dd3c7,The men help Solo and Kuryakin .,He and his men help Solo and Kuryakin infiltrate the Vinciguerras� compound .,He and his Royal Marines help Solo and Kuryakin infiltrate the Vinciguerras� compound .
14,yes,g24p2_014,5ec7d50ec9e77c0008442d77,test,22011,Serbian SuperLiga,8308b49131db,Partizan Belgrade is the current Serbian Super Liga champion .,The current SuperLiga champions are Partizan Belgrade .,The current SuperLiga champions are Crvena Zvezda .
15,yes,g24p2_015,5ece9461c9e77c0008466407,train,113155,WarnerMedia,8362453c9c10,AT & T Media is owned by AT & T .,AT & T Media is an American multinational mass media and entertainment conglomerate owned by AT & T and headquartered in New York City .,WarnerMedia is an American multinational mass media and entertainment conglomerate owned by AT & T and headquartered in New York City .
16,yes,g24p2_016,5eafed7ec9e77c0009ce09c2,dev,17590,Lightning Returns-COLON- Final Fantasy XIII,7d93b4e5b56c,The characters from the game Lightning Returns : Final Fantasy XIII were criticized for being weak or poorly developed .,"It has received mixed reviews : while the main praise went to the game 's battle system , opinions were more mixed for the graphics , time limit and other aspects of gameplay , while the story and characters were criticized for being weak or poorly developed.","It has received mixed reviews : while the main praise went to the game 's battle system , opinions were more mixed for the graphics , time limit and other aspects of gameplay , while the story and characters were priase for being strong or greatly developed."
17,yes,g24p2_017,5ec7d50fc9e77c00084431ae,train,144108,Daniel Agger,905b2133b78b,"In 2006 , Daniel Agger moved to Liverpool .","He started his senior career with Brøndby in July 2004 , winning the Danish Superliga and the Danish Cup , before moving to Liverpool in January 2006 .","He started his senior career with Brøndby in July 2004 , winning the Danish Superliga and the Danish Cup , before moving to Everton in January 2006 ."
18,yes,g24p2_018,5eb29888c9e77c0008d9395f,train,19848,Axwell,cc52a3f13a18,Axel Christofer Hedfors is better known by his stage name Axwell .,"Axel Christofer Hedfors ( born 18 December 1977 ) , better known by his stage name Axwell , is a Swedish DJ , record producer , remixer and owner of Axtone Records .","Klaari Aksevets ( born 18 December 1977 ) , better known by his stage name Axwell , is a Estonian-born Swedish DJ , record producer , remixer and owner of Axtone Records ."
