group_sha,source,n_inc,n_dec,auto_type
dcfb5c9b8a,scifact,4,1,numeric_value
c1a3138125,fever,2,4,exclusive_alternative
2d6e47739f,fever,4,15,exclusive_alternative
7fb8cff259,fever,4,3,numeric_value
a8e1c43172,fever,5,6,exclusive_alternative
1fbc88c092,fever,7,3,exclusive_alternative
87f335a320,scifact,1,1,antonym_opposite
727e412419,scifact,1,1,indirect_contradiction
540d5d0edb,fever,6,2,numeric_value
b6d5c2a224,fever,2,2,indirect_contradiction
f1a3ac1f42,fever,2,1,indirect_contradiction
d39e5de6af,fever,4,3,exclusive_alternative
76755c263e,fever,2,1,exclusive_alternative
fc194aedb7,fever,2,5,numeric_value
7f6d5f9bd8,fever,6,2,indirect_contradiction
9ede29b5dd,fever,3,5,explicit_negation
428b3ea1c3,scifact,1,1,indirect_contradiction
cae3e50ea1,scifact,1,1,indirect_contradiction
70abb33f26,fever,3,5,exclusive_alternative
c8bbf16b70,fever,2,1,explicit_negation
01df2d47f2,fever,1,1,indirect_contradiction
12eac1d2fd,fever,7,10,explicit_negation
828b973030,fever,3,2,explicit_negation
68eee42d27,fever,4,8,indirect_contradiction
43e9793d81,fever,3,2,explicit_negation
4bca426c65,fever,3,3,explicit_negation
f2894bdc91,fever,2,3,indirect_contradiction
9f31ced723,fever,3,1,indirect_contradiction
b32341abe6,fever,4,3,indirect_contradiction
a0ac204db5,fever,2,3,explicit_negation
918ac3db37,fever,4,1,numeric_value
2cf137560e,fever,3,2,numeric_value
e8f0ed13cb,fever,1,2,numeric_value
c8185c1167,fever,1,3,explicit_negation
52dd946655,fever,6,7,numeric_value
9a8e4ffa1e,fever,6,4,numeric_value
3ae70069d7,scifact,1,1,indirect_contradiction
87a4d1344c,fever,4,1,exclusive_alternative
eea5f2f62e,fever,2,1,explicit_negation
f0a99e9777,fever,3,2,exclusive_alternative
b99675450c,scifact,1,1,indirect_contradiction
675acfbb99,fever,8,10,exclusive_alternative
45f9ffc364,fever,5,1,indirect_contradiction
d84ceb7a18,fever,1,4,explicit_negation
53a20dbb54,fever,1,2,indirect_contradiction
6e10b92216,fever,5,5,numeric_value
377a728f42,fever,4,3,indirect_contradiction
7490acfad6,fever,1,2,explicit_negation
af496ae104,fever,6,6,explicit_negation
20bf6fbf70,scifact,1,1,indirect_contradiction
3f3b9e0456,fever,2,1,explicit_negation
cf7e9bb554,fever,5,7,exclusive_alternative
23932af5cf,scifact,1,2,indirect_contradiction
4eff190056,fever,2,2,explicit_negation
b62f6b8de8,fever,1,1,exclusive_alternative
cb115af84d,fever,4,3,numeric_value
c7bbdb5c50,fever,2,2,indirect_contradiction
1073df0316,fever,3,7,indirect_contradiction
f13fab2c9a,fever,1,3,explicit_negation
e8e11aaf0e,scifact,1,1,indirect_contradiction
03e66e8384,fever,1,1,indirect_contradiction
b7fcf008e5,fever,4,3,indirect_contradiction
b866a34452,fever,1,1,indirect_contradiction
baafac4882,fever,3,5,explicit_negation
52ebe20278,fever,1,2,indirect_contradiction
96db2ad3f1,fever,3,3,exclusive_alternative
2f90d68a27,fever,2,3,explicit_negation
bcf9e51f82,fever,8,6,exclusive_alternative
af04f7ab1e,fever,5,4,indirect_contradiction
8cb5d4161c,fever,2,2,exclusive_alternative
3c3a4a37dc,fever,1,2,numeric_value
2181470ed3,fever,1,1,indirect_contradiction
63adfa578a,fever,6,2,numeric_value
d75b4f2510,scifact,1,1,indirect_contradiction
903b219e48,scifact,1,1,indirect_contradiction
c531cffa93,fever,1,3,explicit_negation
99decfff13,fever,7,5,explicit_negation
b15f27ecc4,fever,1,2,indirect_contradiction
1fe6ccdd11,fever,1,2,numeric_value
b89871904b,fever,6,5,exclusive_alternative
ec9ceadbb9,fever,4,9,explicit_negation
c1007fe577,fever,3,2,explicit_negation
834907b420,fever,5,4,explicit_negation
7610adaf66,scifact,1,1,numeric_value
489b15b6d8,fever,5,5,exclusive_alternative
dd91e1fa69,fever,2,1,indirect_contradiction
a4f72f7736,fever,3,1,explicit_negation
a658b8dc16,scifact,1,1,explicit_negation
83952e3102,fever,1,2,numeric_value
9c9b8e997b,fever,7,5,explicit_negation
e77efdb9ab,scifact,1,1,indirect_contradiction
f3361096a8,scifact,1,1,antonym_opposite
ea8f63b767,fever,3,4,indirect_contradiction
0f75314153,fever,5,7,indirect_contradiction
aecedf3c2d,fever,1,2,indirect_contradiction
d81bb3dfe4,fever,2,1,indirect_contradiction
5adef5423d,fever,2,1,indirect_contradiction
76f5fdd9ef,scifact,1,1,antonym_opposite
2c8997d469,fever,4,7,numeric_value
f5da43e40c,fever,1,1,indirect_contradiction
3173d92130,fever,5,5,numeric_value
45702fbb74,fever,1,1,indirect_contradiction
4dbf7e8d3d,fever,2,2,exclusive_alternative
2a3255de71,fever,1,1,indirect_contradiction
afc8355d00,scifact,2,1,numeric_value
a442ff0b62,fever,5,6,exclusive_alternative
d1e7110d86,fever,1,2,explicit_negation
252ec64d13,scifact,1,1,indirect_contradiction
37c6427257,scifact,1,1,indirect_contradiction
0bb87e11b6,fever,1,2,numeric_value
663a0f0655,fever,2,2,indirect_contradiction
537392041e,fever,2,4,explicit_negation
7bfcfe375c,fever,3,7,numeric_value
9d61837d2a,fever,4,1,numeric_value
5db112a93e,fever,2,1,indirect_contradiction
e83435f8a3,fever,4,2,explicit_negation
65f1f45c93,fever,1,2,indirect_contradiction
374057e887,fever,6,2,indirect_contradiction
1e0b5cb1ed,fever,3,3,explicit_negation
0371d7058c,fever,5,5,explicit_negation
