model,item_id,task_family,source,stratum,direction,s,Y_base,Y_admit_pre,Y_admit_post,Y_admit,Y_exclude_pre,Y_exclude_post,E,L_pre,L_post,A_pre,A_post,C_pre,C_post,gain_pre,gain_post,e_pos,claim
gemma3-12b,g24a_fever_100795,g24a_fever,fever,fever/REFUTES,decrease,-1.0,68.69363469743931,0.04545083538297257,10.057761614251174,5.051606224817073,55.53185357431509,55.49561096670002,63.642028472622236,13.161781123124214,13.198023730739287,68.64818386205633,58.63587308318813,-55.48640273893212,-45.43784935244885,0.2068095791256276,0.20737905512262014,True,Eurotas (river) is one of the minor rivers of Peloponnese.
gemma3-12b,g24a_fever_101012,g24a_fever,fever,fever/SUPPORTS,increase,1.0,55.641771952040294,99.47304397555622,89.04515093034723,94.25909745295172,55.54889165369829,55.867747633377675,38.61732550091143,-0.09288029834200273,0.22597568133738122,43.83127202351593,33.40337897830694,-43.92415232185793,-33.17740329696956,-0.002405145802751426,0.005851665758988096,True,Liam Neeson has been nominated for an award.
gemma3-12b,g24a_fever_101118,g24a_fever,fever,fever/SUPPORTS,increase,1.0,65.61120579976601,99.99989294581516,99.98983559191733,99.99486426886625,99.99737661365228,98.93709495515856,34.38365846910024,34.38617081388627,33.325889155392545,34.38868714604915,34.378629792151315,-0.0025163321628838276,-1.0527406367587702,1.0000730679892103,0.9692362779063116,True,Sabbir Khan directed a film featuring an Indian actress.
gemma3-12b,g24a_fever_10151,g24a_fever,fever,fever/SUPPORTS,increase,1.0,11.090350690407604,88.8309106917053,85.32416972314334,87.07754020742432,77.11183548295534,50.81890590975744,75.98718951701672,66.02148479254774,39.728555219349836,77.7405600012977,74.23381903273574,-11.719075208749956,-34.5052638133859,0.8688501997795662,0.5228322757015897,True,An advanced mobile operating system is within the iPhone 4.
gemma3-12b,g24a_fever_101716,g24a_fever,fever,fever/REFUTES,decrease,-1.0,34.943810412986124,0.00024390849494331545,0.0005144867361098548,0.0003791976155265851,55.39632750453894,6.769280102654793,34.943431215370595,-20.452517091552814,28.17453031033133,34.94356650449118,34.943295926250016,-55.396083596043994,-6.768765615918683,-0.5853036287563068,0.8062897468963546,True,Ingushetia was established on the 2nd.
gemma3-12b,g24a_fever_102540,g24a_fever,fever,fever/SUPPORTS,increase,1.0,55.55268609938851,97.97301765544682,99.87791462524655,98.92546614034669,55.563806318336354,55.540967838423626,43.372780040958176,0.011120218947844762,-0.011718260964883598,42.420331556058315,44.32522852585804,-42.40921133711047,-44.33694678682292,0.00025638704591551695,-0.000270175463823571,True,Annabelle is in the United States.
gemma3-12b,g24a_fever_103050,g24a_fever,fever,fever/REFUTES,decrease,-1.0,0.00030984740151235893,4.195964360344573e-05,1.7442133589627763e-05,2.9700888596536746e-05,54.21430584632214,5.0699291282829607e-05,0.00028014651291582217,-54.21399599892063,0.00025914811022952934,0.0002678877579089132,0.0002924052679227312,-54.21426388667854,-3.325715769320184e-05,-193520.15284663113,0.9250449257149869,True,General Motors does not manufacture vehicles.
gemma3-12b,g24a_fever_103158,g24a_fever,fever,fever/REFUTES,decrease,-1.0,7.767983835272112e-05,0.0001863546276697775,0.00021115832011928544,0.00019875647389453146,0.00023981566987046242,0.0017649353821056865,-0.00012107663554181035,-0.00016213583151774132,-0.0016872555437529653,-0.00010867478931705637,-0.00013347848176656433,-5.346104220068493e-05,-0.0015537770619864011,1.3391174175941845,13.935434662539166,False,Blue Jasmine is a documentary film.
gemma3-12b,g24a_fever_103545,g24a_fever,fever,fever/REFUTES,decrease,-1.0,55.5527864525141,0.014739098503323063,0.006965388328761885,0.010852243416042474,55.550443420657686,55.431833739650436,55.54193420909806,0.002343031856412381,0.12095271286366227,55.53804735401078,55.54582106418534,-55.535704322154366,-55.42486835132168,4.218491649195357e-05,0.002177682765031427,True,Annabelle is at The Museum of Natural History.
gemma3-12b,g24a_fever_104021,g24a_fever,fever,fever/REFUTES,decrease,-1.0,45.42060444363103,3.882065946609925e-05,0.000480777734676623,0.00025979919707136114,1.5760171318551947e-05,2.1893538423995952e-05,45.42034464443395,45.42058868345971,45.420582550092604,45.42056562297156,45.42012366589635,2.3060488147547306e-05,0.00045888419625262706,1.0000053729012333,1.0000052378655537,True,Poseidon lacked a budget of $160 million.
