group_sha,model,source,inc_items,dec_items,C_pre_inc,C_pre_dec,C_post_inc,C_post_dec,A_pre_inc,A_pre_dec,A_post_inc,A_post_dec,Y0_inc,Y0_dec,dC_pre,dC_post,dA_pre,dA_post,dY0
02a240f095,gemma3-12b,fever,g24a_fever_193540,g24a_fever_193532,-44.34126,-0.0,-40.890475,-0.072655,44.352411,55.535108,40.88304,55.533435,55.552278,55.535196,-44.34126,-40.817819,-11.182697,-14.650396,0.017082
02a240f095,llama31-8b,fever,g24a_fever_193540,g24a_fever_193532,-29.107053,-44.54248,-47.798209,-36.795913,33.221767,38.647355,34.52295,37.918586,59.225245,44.683475,15.435428,-11.002296,-5.425587,-3.395637,14.54177
02a240f095,mistral-small-24b,fever,g24a_fever_193540,g24a_fever_193532,-24.589717,-62.536773,-68.553548,-57.954746,68.468386,39.557826,64.049985,39.639807,30.082506,39.73199,37.947056,-10.598802,28.91056,24.410178,-9.649483
02a240f095,qwen3-8b,fever,g24a_fever_193540,g24a_fever_193532,-0.0,0.0,-0.001132,0.0,77.721147,32.956842,77.721147,32.956842,22.278853,32.956842,-0.0,-0.001132,44.764306,44.764306,-10.677989
02a240f095,qwen35-9b,fever,g24a_fever_193540,g24a_fever_193532,-0.199546,-0.036817,-94.406137,-0.031286,90.078209,33.330548,89.975044,33.31685,9.552324,33.353231,-0.162729,-94.374851,56.74766,56.658195,-23.800907
02c269369d,gemma3-12b,fever,g24a_fever_223774,g24a_fever_223771,-34.095145,1.9e-05,-37.557673,2e-05,33.365415,55.551089,33.348064,55.551093,55.550915,55.551118,-34.095163,-37.557694,-22.185674,-22.203029,-0.000203
02c269369d,llama31-8b,fever,g24a_fever_223774,g24a_fever_223771,-0.501507,-6.014458,-45.275917,-16.846137,23.560431,-1.08162,32.165908,-1.569456,65.328384,0.044265,5.512952,-28.42978,24.642051,33.735364,65.284119
02c269369d,mistral-small-24b,fever,g24a_fever_223774,g24a_fever_223771,-62.989775,-31.814824,-78.025781,-30.315118,45.902563,20.835622,48.354217,20.855119,48.070917,20.909175,-31.174951,-47.710663,25.066941,27.499097,27.161743
02c269369d,qwen3-8b,fever,g24a_fever_223774,g24a_fever_223771,-0.0,-0.0,-0.0,-0.0,99.996808,0.000372,99.996808,0.000372,0.003192,0.000372,-0.0,-0.0,99.996437,99.996437,0.00282
02c269369d,qwen35-9b,fever,g24a_fever_223774,g24a_fever_223771,-0.093553,-0.702058,-98.320364,-0.00526,0.114572,14.614667,0.184027,15.466564,99.594748,15.473133,0.608505,-98.315104,-14.500095,-15.282537,84.121615
