model,p2_id,cell,value
mistral-small-24b,g24p2_000,ADM+,81.32534032578965
mistral-small-24b,g24p2_000,ADM-,8.405378268787183
mistral-small-24b,g24p2_000,CF+,39.65255653798512
mistral-small-24b,g24p2_000,CF-,35.93202655883851
mistral-small-24b,g24p2_000,EXC+,19.96980333987225
mistral-small-24b,g24p2_000,EXC-,10.501644426506402
mistral-small-24b,g24p2_000,MNR+,35.37393430436883
mistral-small-24b,g24p2_000,MNR-,32.96470734402235
mistral-small-24b,g24p2_000,RND+,39.51025800875224
mistral-small-24b,g24p2_000,RND-,49.24271602607388
mistral-small-24b,g24p2_000,STR+,53.03059624719362
mistral-small-24b,g24p2_000,STR-,50.649915512302655
mistral-small-24b,g24p2_000,Y0,22.0871285198006
mistral-small-24b,g24p2_001,ADM+,99.88134743755802
mistral-small-24b,g24p2_001,ADM-,0.049937278913716694
mistral-small-24b,g24p2_001,CF+,42.71567950547758
mistral-small-24b,g24p2_001,CF-,43.47370958437764
mistral-small-24b,g24p2_001,EXC+,82.78920633846948
mistral-small-24b,g24p2_001,EXC-,31.17793063131185
mistral-small-24b,g24p2_001,MNR+,89.39757638336938
mistral-small-24b,g24p2_001,MNR-,10.787860540586626
mistral-small-24b,g24p2_001,RND+,45.91429989020742
mistral-small-24b,g24p2_001,RND-,44.58623687836741
mistral-small-24b,g24p2_001,STR+,90.81583872068025
mistral-small-24b,g24p2_001,STR-,45.33768062356172
mistral-small-24b,g24p2_001,Y0,0.06878352409150927
mistral-small-24b,g24p2_002,ADM+,98.58805656795204
mistral-small-24b,g24p2_002,ADM-,15.5644669213222
mistral-small-24b,g24p2_002,CF+,50.444813576626835
mistral-small-24b,g24p2_002,CF-,38.22770095930707
mistral-small-24b,g24p2_002,EXC+,21.59910330916984
mistral-small-24b,g24p2_002,EXC-,32.31656241998113
mistral-small-24b,g24p2_002,MNR+,32.39129581681846
mistral-small-24b,g24p2_002,MNR-,22.037573607175872
mistral-small-24b,g24p2_002,RND+,59.122425842037124
mistral-small-24b,g24p2_002,RND-,38.917873404842936
mistral-small-24b,g24p2_002,STR+,56.34291794297769
mistral-small-24b,g24p2_002,STR-,40.85804692324702
mistral-small-24b,g24p2_002,Y0,87.08936129405126
mistral-small-24b,g24p2_003,ADM+,99.32214942286758
mistral-small-24b,g24p2_003,ADM-,86.80280818528034
mistral-small-24b,g24p2_003,CF+,43.34114657355016
mistral-small-24b,g24p2_003,CF-,47.850115416764346
mistral-small-24b,g24p2_003,EXC+,4.9252030025062545
mistral-small-24b,g24p2_003,EXC-,37.95915212322565
mistral-small-24b,g24p2_003,MNR+,31.583004084569843
mistral-small-24b,g24p2_003,MNR-,47.96838583388092
mistral-small-24b,g24p2_003,RND+,41.755896118603886
mistral-small-24b,g24p2_003,RND-,47.46669443951597
mistral-small-24b,g24p2_003,STR+,15.603737778972057
mistral-small-24b,g24p2_003,STR-,31.31777558294163
mistral-small-24b,g24p2_003,Y0,56.032943145873055
mistral-small-24b,g24p2_004,ADM+,99.92995193796104
mistral-small-24b,g24p2_004,ADM-,89.66140468550711
mistral-small-24b,g24p2_004,CF+,28.193900610202807
mistral-small-24b,g24p2_004,CF-,31.943456899461427
mistral-small-24b,g24p2_004,EXC+,8.838058164787398
mistral-small-24b,g24p2_004,EXC-,9.928534793130495
mistral-small-24b,g24p2_004,MNR+,15.848547847467009
mistral-small-24b,g24p2_004,MNR-,46.34996408042158
mistral-small-24b,g24p2_004,RND+,38.613554322078784
mistral-small-24b,g24p2_004,RND-,32.18867202282383
mistral-small-24b,g24p2_004,STR+,2.3460572794752146
mistral-small-24b,g24p2_004,STR-,9.971982986212241
mistral-small-24b,g24p2_004,Y0,51.75922025449966
mistral-small-24b,g24p2_005,ADM+,98.22862592901633
mistral-small-24b,g24p2_005,ADM-,11.475509819197972
mistral-small-24b,g24p2_005,CF+,54.03139802843345
mistral-small-24b,g24p2_005,CF-,36.93508056619882
mistral-small-24b,g24p2_005,EXC+,22.637130888787052
mistral-small-24b,g24p2_005,EXC-,27.53538170585074
mistral-small-24b,g24p2_005,MNR+,9.683203885643161
mistral-small-24b,g24p2_005,MNR-,30.716434982503724
mistral-small-24b,g24p2_005,RND+,53.58626739994714
mistral-small-24b,g24p2_005,RND-,36.389386897337324
mistral-small-24b,g24p2_005,STR+,5.701968298077571
mistral-small-24b,g24p2_005,STR-,14.7318716763245
mistral-small-24b,g24p2_005,Y0,12.312054203460555
mistral-small-24b,g24p2_006,ADM+,75.14368087882343
mistral-small-24b,g24p2_006,ADM-,13.243037322016292
mistral-small-24b,g24p2_006,CF+,49.76055907813541
mistral-small-24b,g24p2_006,CF-,49.45925529450509
mistral-small-24b,g24p2_006,EXC+,29.561232930265867
mistral-small-24b,g24p2_006,EXC-,28.514209427993965
mistral-small-24b,g24p2_006,MNR+,49.98154382124385
mistral-small-24b,g24p2_006,MNR-,43.81442273253136
mistral-small-24b,g24p2_006,RND+,56.41717588977463
mistral-small-24b,g24p2_006,RND-,48.60301474333423
mistral-small-24b,g24p2_006,STR+,40.454242872725914
mistral-small-24b,g24p2_006,STR-,38.63508283195091
mistral-small-24b,g24p2_006,Y0,83.63760001409395
mistral-small-24b,g24p2_010,ADM+,12.547229291601555
mistral-small-24b,g24p2_010,ADM-,15.79095020777364
mistral-small-24b,g24p2_010,CF+,49.40085176117923
mistral-small-24b,g24p2_010,CF-,46.5661240590935
