model,item_id,group_sha,polarity,kind,value
mistral-small-24b,g24a_fever_104703,0c6800fb98,increase,base,99.85788908708481
mistral-small-24b,g24a_fever_104703,0c6800fb98,increase,admit_post,99.91803706591014
mistral-small-24b,g24a_fever_104703,0c6800fb98,increase,exclude_post,27.736326563462327
mistral-small-24b,g24a_fever_104703,0c6800fb98,increase,strong_exclude_post,87.40814364207458
mistral-small-24b,g24a_fever_104703,0c6800fb98,increase,counterfactual_delete_post,79.95503902451827
mistral-small-24b,g24a_fever_42954,0c6800fb98,decrease,base,0.8529122877698158
mistral-small-24b,g24a_fever_42954,0c6800fb98,decrease,admit_post,0.06926136916390685
mistral-small-24b,g24a_fever_42954,0c6800fb98,decrease,exclude_post,1.5891269723193895
mistral-small-24b,g24a_fever_42954,0c6800fb98,decrease,strong_exclude_post,9.47880708222669
mistral-small-24b,g24a_fever_42954,0c6800fb98,decrease,counterfactual_delete_post,3.23543288807594
mistral-small-24b,g24a_fever_196992,8ab41d7c96,increase,base,99.92554582186204
mistral-small-24b,g24a_fever_196992,8ab41d7c96,increase,admit_post,99.96953827739296
mistral-small-24b,g24a_fever_196992,8ab41d7c96,increase,exclude_post,93.90477316926531
mistral-small-24b,g24a_fever_196992,8ab41d7c96,increase,strong_exclude_post,87.88669231152754
mistral-small-24b,g24a_fever_196992,8ab41d7c96,increase,counterfactual_delete_post,93.30167020059513
mistral-small-24b,g24a_fever_196964,8ab41d7c96,decrease,base,0.12024063982054847
mistral-small-24b,g24a_fever_196964,8ab41d7c96,decrease,admit_post,0.23183361207888709
mistral-small-24b,g24a_fever_196964,8ab41d7c96,decrease,exclude_post,0.15793505679037959
mistral-small-24b,g24a_fever_196964,8ab41d7c96,decrease,strong_exclude_post,0.6098940768086207
mistral-small-24b,g24a_fever_196964,8ab41d7c96,decrease,counterfactual_delete_post,0.16047485161738403
mistral-small-24b,g24a_fever_90925,b03a779396,increase,base,99.86365938952744
mistral-small-24b,g24a_fever_90925,b03a779396,increase,admit_post,99.85517238918288
mistral-small-24b,g24a_fever_90925,b03a779396,increase,exclude_post,27.20443983212499
mistral-small-24b,g24a_fever_90925,b03a779396,increase,strong_exclude_post,81.10149816362201
mistral-small-24b,g24a_fever_90925,b03a779396,increase,counterfactual_delete_post,24.045327978995495
mistral-small-24b,g24a_fever_126933,b03a779396,decrease,base,0.23890925925042522
mistral-small-24b,g24a_fever_126933,b03a779396,decrease,admit_post,0.05812936069410311
mistral-small-24b,g24a_fever_126933,b03a779396,decrease,exclude_post,20.239339009129345
mistral-small-24b,g24a_fever_126933,b03a779396,decrease,strong_exclude_post,29.531327267029813
mistral-small-24b,g24a_fever_126933,b03a779396,decrease,counterfactual_delete_post,25.700980319320138
mistral-small-24b,g24a_fever_103003,862d663bdc,increase,base,99.13580681067577
mistral-small-24b,g24a_fever_103003,862d663bdc,increase,admit_post,71.75515779641283
mistral-small-24b,g24a_fever_103003,862d663bdc,increase,exclude_post,15.410751460240672
mistral-small-24b,g24a_fever_103003,862d663bdc,increase,strong_exclude_post,75.08476768511238
mistral-small-24b,g24a_fever_103003,862d663bdc,increase,counterfactual_delete_post,60.969971967571446
mistral-small-24b,g24a_fever_108201,862d663bdc,decrease,base,0.11957636488212724
mistral-small-24b,g24a_fever_108201,862d663bdc,decrease,admit_post,0.05674183562243998
mistral-small-24b,g24a_fever_108201,862d663bdc,decrease,exclude_post,1.090461248464057
