model,p2_id,item_id,arm,kind,value
mistral-small-24b,g24p2_000,g24p2_000_plus,plus,base,22.430139775274665
mistral-small-24b,g24p2_000,g24p2_000_plus,plus,admit_post,81.29410688605302
mistral-small-24b,g24p2_000,g24p2_000_plus,plus,exclude_post,19.969802855181218
mistral-small-24b,g24p2_000,g24p2_000_plus,plus,strong_exclude_post,52.815419102990546
mistral-small-24b,g24p2_000,g24p2_000_plus,plus,counterfactual_delete_post,39.62341875469176
mistral-small-24b,g24p2_000,g24p2_000_minus,minus,admit_post,8.919176930905866
mistral-small-24b,g24p2_000,g24p2_000_minus,minus,exclude_post,10.543632721395985
mistral-small-24b,g24p2_000,g24p2_000_minus,minus,strong_exclude_post,50.461485792969206
mistral-small-24b,g24p2_000,g24p2_000_minus,minus,counterfactual_delete_post,38.182775469405925
mistral-small-24b,g24p2_001,g24p2_001_plus,plus,base,0.06857210423285848
mistral-small-24b,g24p2_001,g24p2_001_plus,plus,admit_post,99.8812739469538
mistral-small-24b,g24p2_001,g24p2_001_plus,plus,exclude_post,65.7327884801406
mistral-small-24b,g24p2_001,g24p2_001_plus,plus,strong_exclude_post,94.28225425959806
mistral-small-24b,g24p2_001,g24p2_001_plus,plus,counterfactual_delete_post,42.71118572215276
mistral-small-24b,g24p2_001,g24p2_001_minus,minus,admit_post,0.04778348967550245
mistral-small-24b,g24p2_001,g24p2_001_minus,minus,exclude_post,29.684177304534046
mistral-small-24b,g24p2_001,g24p2_001_minus,minus,strong_exclude_post,5.946081790279931
mistral-small-24b,g24p2_001,g24p2_001_minus,minus,counterfactual_delete_post,43.50242656799682
mistral-small-24b,g24p2_002,g24p2_002_plus,plus,base,87.08479944978137
mistral-small-24b,g24p2_002,g24p2_002_plus,plus,admit_post,98.73405539479428
mistral-small-24b,g24p2_002,g24p2_002_plus,plus,exclude_post,39.43466102717477
mistral-small-24b,g24p2_002,g24p2_002_plus,plus,strong_exclude_post,56.27386928031776
mistral-small-24b,g24p2_002,g24p2_002_plus,plus,counterfactual_delete_post,50.09486543859004
mistral-small-24b,g24p2_002,g24p2_002_minus,minus,admit_post,16.38228845237963
mistral-small-24b,g24p2_002,g24p2_002_minus,minus,exclude_post,30.594308135928728
mistral-small-24b,g24p2_002,g24p2_002_minus,minus,strong_exclude_post,40.87527724272354
mistral-small-24b,g24p2_002,g24p2_002_minus,minus,counterfactual_delete_post,38.093437413004985
mistral-small-24b,g24p2_003,g24p2_003_plus,plus,base,71.0326913023713
mistral-small-24b,g24p2_003,g24p2_003_plus,plus,admit_post,99.31479052813437
mistral-small-24b,g24p2_003,g24p2_003_plus,plus,exclude_post,5.358403448716267
mistral-small-24b,g24p2_003,g24p2_003_plus,plus,strong_exclude_post,15.609529723952294
