model,p4_claim,cond,value
gemma3-12b,g24p2_000,irrelevant_cf,77.74034344478274
gemma3-12b,g24p2_000,irrelevant_visible,0.059230272942520874
gemma3-12b,g24p2_001,irrelevant_cf,55.628688536773616
gemma3-12b,g24p2_001,irrelevant_visible,53.480815752430196
gemma3-12b,g24p2_002,irrelevant_cf,48.58987261745642
gemma3-12b,g24p2_002,irrelevant_visible,0.0027332456063362213
gemma3-12b,g24p2_003,irrelevant_cf,55.539017065005645
gemma3-12b,g24p2_003,irrelevant_visible,47.32075052628875
gemma3-12b,g24p2_004,irrelevant_cf,55.54409521579252
gemma3-12b,g24p2_004,irrelevant_visible,0.0001641329208303279
gemma3-12b,g24p2_005,irrelevant_cf,18.65733901548747
gemma3-12b,g24p2_005,irrelevant_visible,1.5461997867561737e-05
gemma3-12b,g24p2_006,irrelevant_cf,55.52532147545696
gemma3-12b,g24p2_006,irrelevant_visible,0.031064306404758664
gemma3-12b,g24p2_010,irrelevant_cf,55.43156123373649
gemma3-12b,g24p2_010,irrelevant_visible,0.12215892813454937
gemma3-12b,g24p2_011,irrelevant_cf,56.07732825396509
gemma3-12b,g24p2_011,irrelevant_visible,0.0010549825018716296
gemma3-12b,g24p2_012,irrelevant_cf,11.109998499925455
gemma3-12b,g24p2_012,irrelevant_visible,0.0003266929491449485
gemma3-12b,g24p2_014,irrelevant_cf,55.06955684676561
gemma3-12b,g24p2_014,irrelevant_visible,0.002549737065939013
gemma3-12b,g24p2_015,irrelevant_cf,66.66658872566674
gemma3-12b,g24p2_015,irrelevant_visible,54.2724515966955
gemma3-12b,g24p2_016,irrelevant_cf,66.59274562316683
gemma3-12b,g24p2_016,irrelevant_visible,0.0002818257522092731
gemma3-12b,g24p2_017,irrelevant_cf,55.59525134215734
gemma3-12b,g24p2_017,irrelevant_visible,55.326503641802475
gemma3-12b,g24p2_018,irrelevant_cf,74.21359252448042
gemma3-12b,g24p2_018,irrelevant_visible,99.9934711434868
gemma3-12b,g24p2_019,irrelevant_cf,54.76293795751678
gemma3-12b,g24p2_019,irrelevant_visible,1.3698983606371807e-06
gemma3-12b,g24p2_020,irrelevant_cf,55.62936390289509
gemma3-12b,g24p2_020,irrelevant_visible,0.613863523803711
gemma3-12b,g24p2_021,irrelevant_cf,55.5385066354885
gemma3-12b,g24p2_021,irrelevant_visible,0.5654472897331336
gemma3-12b,g24p2_023,irrelevant_cf,77.71811544788108
gemma3-12b,g24p2_023,irrelevant_visible,23.689667932644408
gemma3-12b,g24p2_024,irrelevant_cf,55.52773888537223
gemma3-12b,g24p2_024,irrelevant_visible,54.77380481514777
gemma3-12b,g24p2_026,irrelevant_cf,55.497196426968095
gemma3-12b,g24p2_026,irrelevant_visible,0.4780902519945813
gemma3-12b,g24p2_027,irrelevant_cf,88.89198670499873
gemma3-12b,g24p2_027,irrelevant_visible,88.90093683190742
gemma3-12b,g24p2_028,irrelevant_cf,55.514013717484794
gemma3-12b,g24p2_028,irrelevant_visible,3.934862868964753e-05
gemma3-12b,g24p2_029,irrelevant_cf,77.85787311085842
gemma3-12b,g24p2_029,irrelevant_visible,3.3447495943814864
gemma3-12b,g24p2_033,irrelevant_cf,55.54600405648425
gemma3-12b,g24p2_033,irrelevant_visible,53.9258837510568
gemma3-12b,g24p2_034,irrelevant_cf,55.49445728139786
gemma3-12b,g24p2_034,irrelevant_visible,0.2286464956914027
gemma3-12b,g24p2_035,irrelevant_cf,11.093361331653758
gemma3-12b,g24p2_035,irrelevant_visible,0.8902219003958012
gemma3-12b,g24p2_036,irrelevant_cf,79.10220097178873
gemma3-12b,g24p2_036,irrelevant_visible,88.73286607961397
gemma3-12b,g24p2_037,irrelevant_cf,29.136003265026716
gemma3-12b,g24p2_037,irrelevant_visible,0.37337573094980286
